                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78241,                 2.1058,                 2.2981,                 1.2353,                0.88122,                0.06311,                0.62342,                0.45945,                0.88122,                0.06311,                0.61165,                0.45515,                0.63842,                 1.3281,                  2.554,                 1.1541,             0.00064762,             0.00064762,             0.00064762
                      2,                0.81685,                 1.6354,                 1.8191,                 1.2396,                0.44283,                0.50847,                0.46514,                 0.2921,                0.33793,                 0.4661,                0.28663,                0.13314,                 1.0423,                 3.6331,                 2.2302,                 1.5468,              0.0012709,              0.0012709,              0.0012709
                      3,                 0.8545,                 1.3098,                 1.7197,                 1.2084,                0.58067,                 0.5339,                0.56229,                0.35149,                0.58394,                0.52335,                0.52927,                0.33765,                 1.2754,                  2.106,                   2.16,                 1.8209,              0.0018502,              0.0018502,              0.0018502
                      4,                0.91656,                 1.4875,                 1.7208,                 1.2827,                0.40684,                0.37288,                0.31235,                0.15203,                0.34746,                0.37905,                0.26478,                0.13979,                 1.4438,                 3.9575,                 2.5583,                 1.7624,               0.001802,               0.001802,               0.001802
                      5,                0.96431,                 1.2671,                 1.8939,                 1.3219,                 0.4577,                0.50068,                0.42098,                0.22797,                0.44002,                0.55085,                0.40032,                0.22806,                 1.0969,                 2.8888,                 2.5156,                 1.7133,               0.001736,               0.001736,               0.001736
                      6,                0.87214,                 1.4499,                 1.5738,                  1.209,                0.60336,                0.59322,                0.61105,                0.43946,                0.63501,                0.47458,                0.54888,                0.35559,                0.93669,                 3.3359,                 2.5573,                 1.5684,                0.00167,                0.00167,                0.00167
                      7,                0.85016,                 1.4965,                 1.4973,                 1.2464,                0.45113,                0.60169,                 0.6122,                0.40509,                0.43589,                0.57626,                0.58717,                0.41747,                 1.0173,                 2.4324,                 6.0192,                 1.5844,               0.001604,               0.001604,               0.001604
                      8,                0.90669,                 1.4804,                 1.6899,                 1.3374,                0.76366,                0.57505,                0.68404,                 0.5411,                 0.7747,                0.58282,                0.69006,                0.54486,                0.87086,                 1.6819,                 1.9298,                 1.3818,               0.001538,               0.001538,               0.001538
                      9,                0.90153,                 1.4164,                 1.6071,                 1.2893,                 0.6625,                0.71186,                0.69256,                 0.4926,                0.67113,                0.72637,                0.69686,                0.52277,                0.95422,                 1.6575,                 1.9994,                 1.5438,               0.001472,               0.001472,               0.001472
                     10,                0.87776,                 1.3461,                 1.5481,                 1.2857,                0.71107,                0.66741,                 0.6982,                0.50506,                0.70204,                0.65894,                0.68272,                0.51741,                 1.1449,                 1.5881,                 2.0467,                 1.8066,               0.001406,               0.001406,               0.001406
